Sample,Number,Dental Age,Predicted Age,Age,Fem_Side,Fem_M_or_E,Fem_Fusion,Fem_Bio_L,Fem_Midshaft_AP_D,Fem_Midshaft_ML_D,Fem_Max_L,Fem_Bicondylar_W,Fem_Head_AP_D,Fem_Head_AP_D_E,Tib_Side,Tib_Bio_L,Tib_M_or_E,Tib_Fusion,Tib_Midshaft_AP_D,Tib_Midshaft_ML_D,Tib_Max_L,Tib_Max_L_E,Tib_Bicond_W,Tib_Bicond_W_E,Tib_Dist_Met_ML_D,Tib_Dist_Met_ML_D_E,Tib_Dist_Met_AP_D,Tib_Dist_Met_AP_D_E,Hum_M_or_E,R_Hum_L,R_Hum_Midshaft_AP_D,R_Hum_Midshaft_ML_D,L_Hum_L,L_Hum_AP_Midshaft_D,L_Hum_ML_Midshaft_D,Hum_Fusion,R_Hum_Max_L,L_Hum_Max_L,Hum_Head_M_or_E,R_Max_Hum_Head_D,L_Max_Hum_Head_D,Hum_Dist_M_or_E,R_Hum_Dist_Met_ML_D,L_Hum_Dist_Met_ML_D,Rad_M_or_E,Rad_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,569,,-0.07,0,R,M,N,74,5.5,6.2,74.0,20.6,10.5,,L,66,M,N,6.0,6.1,66.0,,15.2,,11.3,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,585,,-0.29,0,L,M,N,77,7.4,6.8,77.0,22.4,11.8,,R,68,M,N,7.5,6.7,68.0,,17.1,,12.0,,10.9,,M,66,5.1,4.8,,,,N,66.0,,M,12.2,,M,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,761,,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,65,5.8,5.8,N,65.0,,,,,M,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,858,,-0.25,0,R,M,N,77,7.7,7.5,77.0,21.0,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,1263,,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,M,65,5.3,5.2,,,,N,65.0,,M,11.9,,M,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,1387,,-0.2,0,R,M,N,78,6.7,6.6,78.0,21.0,10.7,,L,68,M,N,6.6,6.1,68.0,,,,11.2,,9.5,,M,67,5.7,5.4,68,5.2,4.8,N,68.0,,M,13.0,,M,16.2,,M,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,7109,,-0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,67,6.0,5.6,N,67.0,,M,14.3,,M,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,7625.1,,-0.12,0,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,70,6.1,6.0,N,70.0,,,,,M,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,8,,-0.63,0,L,M,N,79,6.0,6.1,79,20.8,11.6,,L,70,M,N,6.8,6.0,70.0,,16.6,,11.3,,10.0,,M,68,4.9,5.0,68,5.1,4.7,N,67.0,67.2,M,13.5,13.4,M,17.3,,M,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,29,,-0.66,0,L,M,N,77,6.1,6.3,78,21.0,10.9,,R,70,M,N,6.6,6.3,70.0,,17.1,,11.1,,10.2,,M,69,5.3,4.8,69,5.2,4.7,N,68.1,68.1,M,13.6,14.1,M,18.1,,M,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,33,,-0.66,0,L,M,N,77,6.4,6.4,78,19.4,10.8,,L,66,M,N,6.4,6.0,66.0,,15.6,,10.4,,10.3,,M,67,5.6,5.6,67,5.5,5.5,N,67.1,66.4,M,13.8,13.4,M,17.6,,M,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,89,0,.,0,R,M,N,93,8.4,9.1,95,26.6,13.5,,L,80,M,N,9.6,7.9,81.0,,17.6,,13.6,,13.2,,M,79,8.3,7.2,79,8.0,7.1,N,77.9,79.1,M,17.4,17.4,M,19.0,,M,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,453.2,,-0.63,0,L,M,N,79,6.8,6.6,79.0,21.4,11.0,,L,70,M,N,6.5,6.5,70.0,,16.7,,10.9,,10.4,,M,68,6.0,5.9,68,5.9,5.5,N,67.6,68.3,M,13.0,13.4,M,16.2,,M,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9009,,-0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,M,72,7.3,6.6,72,7.1,6.5,N,72.0,,M,15.2,,M,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9039,,-0.32,0,R,M,N,75,7.3,6.8,75.0,,9.3,,,,,,,,,,,,,,,,M,,,,66,6.5,5.8,N,67.0,,M,15.0,,M,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
