Sample ID,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,Wt (kg),Age
1,340.97,18.02,64.87,347.58,18.91,63.23,269.52,55.36,19.92,38.76,276.1,54.78,20.88,37.32,267.1,274.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,14.9
2,395.01,22.4,73.34,399.8,21.56,73.28,332.12,66.16,22.72,44.86,335.08,67.29,22.44,46.18,312.48,320.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.8,15.66
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.1,63.66,19.84,46.87,NA,342.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,14.76
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.23,60.03,21.4,43.01,NA,337.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,12.55
5,NA,NA,76.84,NA,NA,78.62,347.02,67.8,21.55,47.07,351.64,68.49,20.8,46.09,338.2,340.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,12.69
6,402.16,22.1,65.51,406.18,25.11,69.07,332.47,59.18,19.38,44.43,330.48,59.34,18.93,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,15.2
7,NA,NA,64.52,NA,NA,64.16,300.65,53.16,14.97,37.99,300.42,54.49,15.26,36.83,297.06,293.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,12.25
8,NA,NA,81.03,NA,NA,81.41,351.34,67.66,21.43,50.11,355.17,72.02,21.41,48.12,345.47,348.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,12.92
9,375.11,22.12,69.08,369.9,23.09,68.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,10.58
10,NA,NA,71.82,NA,NA,72.19,340.5,63.37,19.08,44.18,350.12,61.62,19.24,45.49,335.84,339.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.83
11,422.37,24.22,79.1,417.97,25.35,80.07,352.75,70.29,25.18,48.94,342.92,72.65,23.38,48.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.77
12,295.81,17.83,60.23,294.92,18.08,61.44,230.92,50.51,17.76,34.32,229.38,50.11,17.89,35.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.05,13.37
13,414.58,24.47,75.19,425.09,25.88,78.38,350.96,64.67,23.32,48.44,362.56,68.82,25.26,48.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.27
14,340.49,21.83,62.18,340.48,23.64,62.14,288.97,57.17,20.97,38.27,282.56,50.53,19.93,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,14.45
15,NA,NA,NA,395.68,23.98,73.63,NA,NA,NA,NA,343.46,64.6,22.42,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.1,15.26
16,NA,NA,NA,398.23,24.23,76.89,NA,NA,NA,NA,343.29,70.8,22.55,40.72,NA,337.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,15.28
17,NA,NA,69.57,NA,NA,71.4,351.01,62.02,20.6,42.46,344.34,64.52,21.54,42.83,345.21,338.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.73
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.55,38.09,18.74,46.86,NA,NA,NA,NA,NA,16.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,13.57
19,389.42,27.5,84.77,386.28,26.69,83.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.68
20,415.9,27.39,78.1,415.37,26.69,78.06,338.78,65.68,22.77,48.87,338.01,67.62,24.27,46.16,329.47,325.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.45
21,368.22,24.15,64.55,371.75,25.25,66.66,323.05,53.56,21.86,41.57,325.76,55.1,21.37,41.92,NA,NA,261.65,35.8,21.11,49.76,255.09,36,21.33,47.5,210.22,16.24,15.3,24.65,208.97,17.71,15,24.47,227.51,14.63,226.3,15.62,44,11.21
22,316.62,15.75,53.5,312.7,15.38,52.05,NA,NA,NA,NA,265.94,49.69,12,35.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,13.44
23,NA,NA,65.77,NA,NA,68.75,291.55,58.14,17.24,39.41,298.32,57.37,18.88,40.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,15.75
24,NA,NA,57.43,NA,NA,59.51,NA,NA,NA,NA,246.81,58.74,16.32,38.02,NA,260.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,9.42
25,NA,NA,59.78,NA,NA,64.24,NA,NA,NA,NA,260.13,59.93,16.65,40.09,NA,255.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,10.44
